family_id	final_status	n	total_n	prop
OG0000184	P	232	326	0.7116564417177914
OG0000184	U	71	326	0.21779141104294478
OG0000185	A	6	131	0.04580152671755725
OG0000185	F	21	131	0.16030534351145037
OG0000185	P	90	131	0.6870229007633588
OG0000185	U	14	131	0.10687022900763359
OG0000186	A	35	39	0.8974358974358975
OG0000186	U	4	39	0.10256410256410256
OG0000188	A	30	386	0.07772020725388601
OG0000188	F	18	386	0.046632124352331605
OG0000188	P	176	386	0.45595854922279794
OG0000188	U	162	386	0.41968911917098445
OG0000192	F	5	42	0.11904761904761904
OG0000192	P	2	42	0.047619047619047616
OG0000192	U	35	42	0.8333333333333334
OG0000196	F	1	85	0.011764705882352941
OG0000196	P	11	85	0.12941176470588237
OG0000196	U	73	85	0.8588235294117647
OG0000199	F	23	393	0.058524173027989825
OG0000199	P	84	393	0.21374045801526717
OG0000199	U	286	393	0.727735368956743
OG0000200	A	1	372	0.002688172043010753
OG0000200	P	351	372	0.9435483870967742
OG0000200	U	20	372	0.053763440860215055
OG0000202	F	3	61	0.04918032786885246
OG0000202	P	34	61	0.5573770491803278
OG0000202	U	24	61	0.39344262295081966
OG0000206	A	1	134	0.007462686567164179
OG0000206	F	3	134	0.022388059701492536
OG0000206	P	32	134	0.23880597014925373
OG0000206	U	98	134	0.7313432835820896
OG0000207	A	33	251	0.13147410358565736
OG0000207	F	1	251	0.00398406374501992
OG0000207	P	209	251	0.8326693227091634
OG0000207	U	8	251	0.03187250996015936
OG0000210	A	1	61	0.01639344262295082
OG0000210	P	49	61	0.8032786885245902
OG0000210	U	11	61	0.18032786885245902
OG0000213	A	63	162	0.3888888888888889
OG0000213	F	2	162	0.012345679012345678
OG0000213	P	53	162	0.3271604938271605
OG0000213	U	44	162	0.2716049382716049
OG0000217	P	231	235	0.9829787234042553
OG0000217	U	4	235	0.01702127659574468
OG0000220	A	1	237	0.004219409282700422
OG0000220	F	34	237	0.14345991561181434
OG0000220	P	86	237	0.3628691983122363
OG0000220	U	116	237	0.48945147679324896
OG0000224	P	44	48	0.9166666666666666
OG0000224	U	4	48	0.08333333333333333
OG0000228	A	3	52	0.057692307692307696
OG0000228	P	33	52	0.6346153846153846
OG0000228	U	16	52	0.3076923076923077
OG0000242	A	2	232	0.008620689655172414
OG0000242	F	11	232	0.04741379310344827
OG0000242	P	190	232	0.8189655172413793
OG0000242	U	29	232	0.125
OG0000253	A	1	175	0.005714285714285714
OG0000253	F	8	175	0.045714285714285714
OG0000253	P	54	175	0.30857142857142855
OG0000253	U	112	175	0.64
OG0000255	A	23	1059	0.021718602455146365
OG0000255	F	8	1059	0.007554296506137866
OG0000255	P	914	1059	0.8630783758262511
OG0000255	U	114	1059	0.10764872521246459
OG0000258	A	24	284	0.08450704225352113
OG0000258	F	13	284	0.045774647887323945
OG0000258	P	108	284	0.38028169014084506
OG0000258	U	139	284	0.4894366197183099
OG0000261	F	9	123	0.07317073170731707
OG0000261	P	70	123	0.5691056910569106
OG0000261	U	44	123	0.35772357723577236
OG0000264	F	5	212	0.02358490566037736
OG0000264	P	182	212	0.8584905660377359
OG0000264	U	25	212	0.1179245283018868
OG0000266	A	17	107	0.1588785046728972
OG0000266	F	7	107	0.06542056074766354
OG0000266	P	65	107	0.6074766355140186
OG0000266	U	18	107	0.16822429906542055
OG0000269	A	13	32	0.40625
OG0000269	F	2	32	0.0625
OG0000269	P	5	32	0.15625
OG0000269	U	12	32	0.375
OG0000271	F	7	68	0.10294117647058823
OG0000271	P	26	68	0.38235294117647056
OG0000271	U	35	68	0.5147058823529411
OG0000272	A	10	22	0.45454545454545453
OG0000272	F	1	22	0.045454545454545456
OG0000272	P	8	22	0.36363636363636365
OG0000272	U	3	22	0.13636363636363635
OG0000276	A	47	166	0.28313253012048195
OG0000276	F	2	166	0.012048192771084338
OG0000276	P	104	166	0.6265060240963856
OG0000276	U	13	166	0.0783132530120482
OG0000297	A	1	55	0.01818181818181818
OG0000297	P	22	55	0.4
OG0000297	U	32	55	0.5818181818181818
OG0000298	A	1	110	0.00909090909090909
OG0000298	P	34	110	0.3090909090909091
OG0000298	U	75	110	0.6818181818181818
OG0000299	A	28	284	0.09859154929577464
OG0000299	F	11	284	0.03873239436619718
OG0000299	P	76	284	0.2676056338028169
OG0000299	U	169	284	0.5950704225352113
OG0000319	A	8	33	0.24242424242424243
OG0000319	F	1	33	0.030303030303030304
OG0000319	P	10	33	0.30303030303030304
OG0000319	U	14	33	0.42424242424242425
OG0000320	A	12	37	0.32432432432432434
OG0000320	P	21	37	0.5675675675675675
OG0000320	U	4	37	0.10810810810810811
OG0000325	F	15	83	0.18072289156626506
OG0000325	P	8	83	0.0963855421686747
OG0000325	U	60	83	0.7228915662650602
OG0000329	P	2	11	0.18181818181818182
OG0000329	U	9	11	0.8181818181818182
OG0000338	A	1	300	0.0033333333333333335
OG0000338	F	13	300	0.043333333333333335
OG0000338	P	173	300	0.5766666666666667
OG0000338	U	113	300	0.37666666666666665
OG0000339	A	38	213	0.1784037558685446
OG0000339	F	12	213	0.056338028169014086
OG0000339	P	94	213	0.4413145539906103
OG0000339	U	69	213	0.323943661971831
OG0000343	A	26	147	0.17687074829931973
OG0000343	F	13	147	0.08843537414965986
OG0000343	P	102	147	0.6938775510204082
OG0000343	U	6	147	0.04081632653061224
