"gene","assembly","group","window","repeat_class","n_te_class"
"AL1G59710","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G59720","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G59720","73_3a","Family","pm1kb","LINE/L1",1
"AL1G59840","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G59840","73_3a","Family","pm1kb","DNA/MULE-MuDR",1
"AL1G59840","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G59850","73_3a","Family","pm1kb","LTR/unknown",2
"AL1G59870","73_3a","Family","pm1kb","LINE/L1",1
"AL1G60090","73_3a","Family","pm1kb","LTR/Ty3",1
"AL1G61300","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G61980","73_3a","Family","pm1kb","LTR/Ty3",3
"AL1G62110","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G63060","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G63190","73_3a","Family","pm1kb","DNA/Helitron",3
"AL1G63190","73_3a","Family","pm1kb","DNA/MULE-MuDR",3
"AL1G63440","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G64730","73_3a","Family","pm1kb","LTR/Ty3",11
"AL1G65170","73_3a","Family","pm1kb","LTR/Ty3",4
"AL1G65230","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G65230","73_3a","Family","pm1kb","LTR/Copia",1
"AL1G65610","73_3a","Family","pm1kb","LTR/Gypsy",2
"AL1G65650","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G65650","73_3a","Family","pm1kb","DNA/MULE-MuDR",2
"AL1G65810","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G65810","73_3a","Family","pm1kb","LTR/unknown",3
"AL1G66000","73_3a","Family","pm1kb","LTR/Gypsy",2
"AL1G66260","73_3a","Family","pm1kb","DNA/Helitron",3
"AL1G66260","73_3a","Family","pm1kb","LTR/Copia",2
"AL1G66270","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G66330","73_3a","Family","pm1kb","DNA/Helitron",1
"AL1G66350","73_3a","Family","pm1kb","DNA/Helitron",2
"AL1G66380","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G66430","73_3a","Family","pm1kb","LINE/unknown",1
"AL1G66560","73_3a","Family","pm1kb","LTR/Copia",2
"AL1G66560","73_3a","Family","pm1kb","LTR/unknown",1
"AL1G67240","73_3a","Family","pm1kb","LINE/L1",3
"AL1G67240","73_3a","Family","pm1kb","LINE/unknown",3
"AL1G67280","73_3a","Family","pm1kb","LTR/Copia",1
"AL211U10020","73_3a","Family","pm1kb","LTR/Ty3",6
"AL249U10020","73_3a","Family","pm1kb","LTR/Copia",1
"AL249U10030","73_3a","Family","pm1kb","LTR/Copia",1
"AL249U10050","73_3a","Family","pm1kb","LTR/Copia",1
"AL26U10030","73_3a","Family","pm1kb","LTR/Copia",1
"AL293U10010","73_3a","Family","pm1kb","DNA/Helitron",4
"AL2G10190","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G11060","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G11070","73_3a","Family","pm1kb","DNA/Helitron",2
"AL2G11100","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G11240","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G12500","73_3a","Family","pm1kb","LTR/unknown",2
"AL2G12830","73_3a","Family","pm1kb","DNA/Helitron",2
"AL2G12830","73_3a","Family","pm1kb","LINE/unknown",1
"AL2G13120","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G13130","73_3a","Family","pm1kb","DNA/Helitron",3
"AL2G13170","73_3a","Family","pm1kb","DNA/Helitron",2
"AL2G13170","73_3a","Family","pm1kb","LINE/unknown",1
"AL2G13390","73_3a","Family","pm1kb","LTR/Gypsy",1
"AL2G13820","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G13820","73_3a","Family","pm1kb","SINE/tRNA",1
"AL2G13840","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G13870","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G13960","73_3a","Family","pm1kb","DNA/MULE-MuDR",2
"AL2G13960","73_3a","Family","pm1kb","LINE/L1",1
"AL2G14110","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G15130","73_3a","Family","pm1kb","LTR/Copia",2
"AL2G15770","73_3a","Family","pm1kb","LTR/Copia",1
"AL2G15770","73_3a","Family","pm1kb","LTR/unknown",1
"AL2G16130","73_3a","Family","pm1kb","LTR/Gypsy",1
"AL2G16140","73_3a","Family","pm1kb","LINE/unknown",1
"AL2G16160","73_3a","Family","pm1kb","LINE/L1",1
"AL2G16170","73_3a","Family","pm1kb","LINE/unknown",1
"AL2G17070","73_3a","Family","pm1kb","DNA/Helitron",3
"AL2G17070","73_3a","Family","pm1kb","LINE/L1",1
"AL2G17080","73_3a","Family","pm1kb","LTR/Gypsy",2
"AL2G17080","73_3a","Family","pm1kb","LTR/Ty3",7
"AL2G17090","73_3a","Family","pm1kb","SINE/tRNA",1
"AL2G17100","73_3a","Family","pm1kb","DNA/Helitron",1
"AL2G17100","73_3a","Family","pm1kb","LINE/L1",1
"AL2G17100","73_3a","Family","pm1kb","LINE/unknown",1
"AL2G17100","73_3a","Family","pm1kb","LTR/unknown",2
"AL2G17250","73_3a","Family","pm1kb","LTR/unknown",1
"AL2G17690","73_3a","Family","pm1kb","DNA/Helitron",3
"AL2G17720","73_3a","Family","pm1kb","LINE/L1",1
"AL2G17720","73_3a","Family","pm1kb","LTR/Copia",2
