family_id	final_status	total_n	proportion	family_size
OG0000272	F	13	0.0955882352941176	1
OG0000272	P	12	0.0882352941176471	1
OG0000272	U	111	0.816176470588235	1
OG0000276	A	7	0.0075107296137339	4
OG0000276	P	925	0.992489270386266	4
OG0000297	P	1103	0.893117408906883	9
OG0000297	U	132	0.106882591093117	9
OG0000298	F	122	0.0904373610081542	9
OG0000298	P	180	0.133432171979244	9
OG0000298	U	1047	0.776130467012602	9
OG0000299	F	7	0.0105263157894737	5
OG0000299	P	214	0.321804511278195	5
OG0000299	U	444	0.667669172932331	5
OG0000319	F	1	0.00371747211895911	2
OG0000319	P	154	0.572490706319703	2
OG0000319	U	114	0.423791821561338	2
OG0000320	P	136	1	1
OG0000325	F	63	0.0495283018867925	10
OG0000325	P	401	0.315251572327044	10
OG0000325	U	808	0.635220125786163	10
OG0000329	A	135	0.0707547169811321	15
OG0000329	F	126	0.0660377358490566	15
OG0000329	P	633	0.331761006289308	15
OG0000329	U	1014	0.531446540880503	15
OG0000338	A	133	0.970802919708029	1
OG0000338	U	4	0.0291970802919708	1
OG0000339	F	34	0.0833333333333333	3
OG0000339	P	176	0.431372549019608	3
OG0000339	U	198	0.485294117647059	3
OG0000343	F	1	0.00147710487444609	6
OG0000343	P	397	0.586410635155096	6
OG0000343	U	279	0.412112259970458	6
OG0000347	A	136	0.333333333333333	3
OG0000347	F	4	0.00980392156862745	3
OG0000347	P	12	0.0294117647058824	3
OG0000347	U	256	0.627450980392157	3
OG0000348	A	1	0.000688231245698555	9
OG0000348	F	194	0.13351686166552	9
OG0000348	P	584	0.401927047487956	9
OG0000348	U	674	0.463867859600826	9
OG0000360	F	57	0.0838235294117647	5
OG0000360	P	33	0.0485294117647059	5
OG0000360	U	590	0.86764705882353	5
OG0000361	F	27	0.05	4
OG0000361	P	232	0.42962962962963	4
OG0000361	U	281	0.52037037037037	4
OG0000367	P	135	1	1
OG0000372	F	75	0.0706214689265537	8
OG0000372	P	328	0.308851224105461	8
OG0000372	U	659	0.620527306967985	8
OG0000375	P	121	1	1
OG0000382	A	3	0.00276243093922652	8
OG0000382	F	119	0.109576427255985	8
OG0000382	P	488	0.449355432780847	8
OG0000382	U	476	0.438305709023941	8
OG0000384	A	126	0.324742268041237	3
OG0000384	F	44	0.11340206185567	3
OG0000384	P	80	0.206185567010309	3
OG0000384	U	138	0.355670103092784	3
OG0000385	F	1	0.00740740740740741	1
OG0000385	P	20	0.148148148148148	1
OG0000385	U	114	0.844444444444444	1
OG0000386	F	4	0.00736648250460405	4
OG0000386	P	70	0.128913443830571	4
OG0000386	U	469	0.863720073664825	4
OG0000388	P	17	0.133858267716535	1
OG0000388	U	110	0.866141732283465	1
OG0000402	F	10	0.00924214417744917	7
OG0000402	P	549	0.507393715341959	7
OG0000402	U	523	0.483364140480592	7
OG0000418	P	91	0.669117647058823	1
OG0000418	U	45	0.330882352941176	1
OG0000419	P	136	1	1
OG0000422	F	1	0.00183823529411765	4
OG0000422	P	5	0.00919117647058824	4
OG0000422	U	538	0.988970588235294	4
OG0000432	A	11	0.0808823529411765	1
OG0000432	P	116	0.852941176470588	1
OG0000432	U	9	0.0661764705882353	1
OG0000434	F	22	0.0435643564356436	4
OG0000434	P	309	0.611881188118812	4
OG0000434	U	174	0.344554455445545	4
OG0000440	F	13	0.0488721804511278	2
OG0000440	P	77	0.289473684210526	2
OG0000440	U	176	0.661654135338346	2
OG0000442	A	130	0.0614076523382145	15
OG0000442	F	250	0.118091639111951	15
OG0000442	P	234	0.110533774208786	15
OG0000442	U	1503	0.709966934341049	15
OG0000445	A	90	0.247252747252747	3
OG0000445	P	274	0.752747252747253	3
OG0000448	P	156	0.590909090909091	2
OG0000448	U	108	0.409090909090909	2
OG0000452	A	134	1	1
OG0000453	P	12	0.0882352941176471	1
OG0000453	U	124	0.911764705882353	1
OG0000473	F	66	0.0498489425981873	11
OG0000473	P	653	0.493202416918429	11
OG0000473	U	605	0.456948640483384	11
OG0000496	P	93	0.683823529411765	1
OG0000496	U	43	0.316176470588235	1
OG0000500	A	145	0.0736040609137056	9
OG0000500	F	43	0.0218274111675127	9
OG0000500	P	1439	0.730456852791878	9
OG0000500	U	343	0.174111675126904	9
OG0000501	F	2	0.00738007380073801	2
OG0000501	P	159	0.586715867158672	2
OG0000501	U	110	0.40590405904059	2
OG0000503	A	200	0.819672131147541	2
OG0000503	P	21	0.0860655737704918	2
OG0000503	U	23	0.0942622950819672	2
OG0000504	A	270	0.224252491694352	9
OG0000504	F	4	0.00332225913621262	9
OG0000504	P	634	0.526578073089701	9
OG0000504	U	296	0.245847176079734	9
OG0000510	A	3	0.00308008213552361	8
OG0000510	F	25	0.0256673511293634	8
OG0000510	P	230	0.236139630390144	8
OG0000510	U	716	0.735112936344969	8
OG0000513	A	264	0.49438202247191	4
OG0000513	F	9	0.0168539325842697	4
OG0000513	P	4	0.00749063670411985	4
OG0000513	U	257	0.4812734082397	4
OG0000534	P	268	0.404833836858006	5
OG0000534	U	394	0.595166163141994	5
OG0000535	F	2	0.00881057268722467	2
OG0000535	P	58	0.255506607929515	2
OG0000535	U	167	0.73568281938326	2
OG0000546	F	36	0.0378548895899054	7
OG0000546	P	447	0.470031545741325	7
OG0000546	U	468	0.49211356466877	7
OG0000549	P	23	0.0422794117647059	4
OG0000549	U	521	0.957720588235294	4
OG0000589	F	8	0.0860215053763441	1
OG0000589	P	32	0.344086021505376	1
OG0000589	U	53	0.56989247311828	1
OG0000591	F	23	0.169117647058824	1
OG0000591	U	113	0.830882352941177	1
OG0000594	P	6	0.0252100840336134	2
OG0000594	U	232	0.974789915966387	2
OG0000598	F	7	0.0172413793103448	3
OG0000598	P	271	0.667487684729064	3
OG0000598	U	128	0.315270935960591	3
OG0000599	P	136	0.5	2
OG0000599	U	136	0.5	2
OG0000601	A	84	0.0355630821337849	11
OG0000601	F	38	0.0160880609652837	11
OG0000601	P	2186	0.925486875529212	11
OG0000601	U	54	0.0228619813717189	11
OG0000605	F	3	0.00735294117647059	3
OG0000605	P	272	0.666666666666667	3
OG0000605	U	133	0.325980392156863	3
OG0000606	P	408	1	3
OG0000618	F	5	0.0123152709359606	3
OG0000618	P	173	0.426108374384236	3
OG0000618	U	228	0.561576354679803	3
OG0000620	F	1	0.0028735632183908	3
OG0000620	P	183	0.525862068965517	3
OG0000620	U	164	0.471264367816092	3
OG0000621	P	5	0.0367647058823529	1
OG0000621	U	131	0.963235294117647	1
OG0000639	F	10	0.0378787878787879	2
OG0000639	P	4	0.0151515151515152	2
OG0000639	U	250	0.946969696969697	2
OG0000679	A	3	0.00234375	9
OG0000679	F	105	0.08203125	9
OG0000679	P	606	0.4734375	9
OG0000679	U	566	0.4421875	9
OG0000692	A	136	0.131655372700871	7
OG0000692	F	12	0.0116166505324298	7
OG0000692	P	224	0.216844143272023	7
OG0000692	U	661	0.639883833494676	7
OG0000712	A	136	0.25	4
OG0000712	P	24	0.0441176470588235	4
OG0000712	U	384	0.705882352941177	4
OG0000720	P	136	1	1
OG0000724	F	2	0.00735294117647059	2
OG0000724	P	174	0.639705882352941	2
OG0000724	U	96	0.352941176470588	2
OG0000725	P	135	1	1
OG0000728	A	262	0.429508196721311	5
OG0000728	F	1	0.00163934426229508	5
OG0000728	P	75	0.122950819672131	5
OG0000728	U	272	0.445901639344262	5
OG0000731	F	39	0.0426695842450766	7
OG0000731	P	367	0.401531728665208	7
OG0000731	U	508	0.555798687089716	7
OG0000736	F	41	0.03710407239819	11
OG0000736	P	298	0.269683257918552	11
OG0000736	U	766	0.693212669683258	11
OG0000739	A	1171	0.777040477770405	9
OG0000739	F	17	0.0112806901128069	9
OG0000739	P	119	0.0789648307896483	9
OG0000739	U	200	0.13271400132714	9
OG0000761	P	752	1	6
OG0000792	U	136	1	1
OG0000817	P	103	1	1
OG0000822	P	11	0.0407407407407407	2
OG0000822	U	259	0.959259259259259	2
OG0000846	F	2	0.00367647058823529	4
OG0000846	P	277	0.509191176470588	4
OG0000846	U	265	0.487132352941176	4
OG0000857	F	57	0.209558823529412	2
OG0000857	P	181	0.665441176470588	2
OG0000857	U	34	0.125	2
OG0000862	P	113	1	1
OG0000865	P	136	1	1
OG0000887	U	135	1	1
OG0000893	P	19	0.154471544715447	1
OG0000893	U	104	0.845528455284553	1
OG0000907	P	438	0.651785714285714	5
OG0000907	U	234	0.348214285714286	5
OG0000913	A	69	0.12707182320442	4
OG0000913	F	6	0.0110497237569061	4
OG0000913	P	87	0.160220994475138	4
OG0000913	U	381	0.701657458563536	4
OG0000929	F	54	0.397058823529412	1
OG0000929	P	3	0.0220588235294118	1
OG0000929	U	79	0.580882352941177	1
OG0000949	F	308	0.111432706222865	7
OG0000949	P	1324	0.479015918958032	7
OG0000949	U	1132	0.409551374819103	7
OG0000962	F	1	0.00148148148148148	5
OG0000962	P	205	0.303703703703704	5
OG0000962	U	469	0.694814814814815	5
OG0001007	P	136	1	1
OG0001019	F	10	0.018348623853211	4
OG0001019	P	148	0.271559633027523	4
OG0001019	U	387	0.710091743119266	4
OG0001038	F	88	0.0981047937569677	7
OG0001038	P	226	0.251950947603122	7
OG0001038	U	583	0.649944258639911	7
OG0001079	F	1	0.0112359550561798	1
OG0001079	P	25	0.280898876404494	1
OG0001079	U	63	0.707865168539326	1
OG0001115	F	45	0.0831792975970425	4
OG0001115	P	259	0.478743068391867	4
OG0001115	U	237	0.438077634011091	4
OG0001127	A	119	0.40893470790378	3
OG0001127	F	12	0.0412371134020619	3
OG0001127	P	143	0.491408934707904	3
OG0001127	U	17	0.0584192439862543	3
OG0001132	F	33	0.242647058823529	1
OG0001132	P	50	0.367647058823529	1
OG0001132	U	53	0.389705882352941	1
OG0001135	P	133	1	1
OG0001136	F	7	0.0104790419161677	5
OG0001136	P	179	0.267964071856287	5
OG0001136	U	482	0.721556886227545	5
OG0001139	A	112	0.278606965174129	3
OG0001139	F	4	0.0099502487562189	3
OG0001139	P	24	0.0597014925373134	3
OG0001139	U	262	0.651741293532338	3
OG0001188	F	2	0.00490196078431373	3
OG0001188	P	294	0.720588235294118	3
OG0001188	U	112	0.274509803921569	3
OG0001196	P	107	1	1
OG0001202	F	136	0.250460405156538	3
OG0001202	P	2	0.00368324125230203	3
OG0001202	U	405	0.74585635359116	3
OG0001262	F	11	0.0269607843137255	3
OG0001262	P	88	0.215686274509804	3
OG0001262	U	309	0.75735294117647	3
OG0001318	P	136	1	1
OG0001336	P	408	1	3
OG0001349	F	23	0.0284653465346535	6
OG0001349	P	339	0.419554455445545	6
OG0001349	U	446	0.551980198019802	6
OG0001363	F	27	0.2	1
OG0001363	P	61	0.451851851851852	1
OG0001363	U	47	0.348148148148148	1
OG0001392	P	194	0.713235294117647	2
OG0001392	U	78	0.286764705882353	2
OG0001395	P	263	0.98501872659176	2
OG0001395	U	4	0.0149812734082397	2
OG0001398	A	1	0.04	1
OG0001398	P	4	0.16	1
OG0001398	U	20	0.8	1
OG0001400	P	415	0.762867647058823	4
OG0001400	U	129	0.237132352941176	4
OG0001401	P	139	0.340686274509804	3
OG0001401	U	269	0.659313725490196	3
OG0001408	P	71	0.261992619926199	2
OG0001408	U	200	0.738007380073801	2
OG0001411	P	14	0.102941176470588	1
OG0001411	U	122	0.897058823529412	1
OG0001412	U	136	1	1
OG0001688	F	22	0.0235546038543897	7
OG0001688	P	519	0.555674518201285	7
OG0001688	U	393	0.420770877944325	7
OG0001769	P	407	1	3
OG0001813	P	136	0.5	2
OG0001813	U	136	0.5	2
OG0001820	F	140	0.150537634408602	7
OG0001820	P	291	0.312903225806452	7
OG0001820	U	499	0.536559139784946	7
OG0001841	P	137	0.503676470588235	2
OG0001841	U	135	0.496323529411765	2
OG0001885	A	101	0.107104984093319	7
OG0001885	F	39	0.0413573700954401	7
OG0001885	P	186	0.197242841993637	7
OG0001885	U	617	0.654294803817603	7
OG0001893	A	124	1	1
OG0001901	F	9	0.0330882352941176	2
OG0001901	P	136	0.5	2
OG0001901	U	127	0.466911764705882	2
OG0001911	A	136	0.5	2
OG0001911	P	136	0.5	2
OG0001918	P	2	0.0588235294117647	1
OG0001918	U	32	0.941176470588235	1
OG0001923	P	46	0.338235294117647	1
OG0001923	U	90	0.661764705882353	1
OG0001927	F	28	0.104868913857678	3
OG0001927	P	177	0.662921348314607	3
OG0001927	U	62	0.232209737827715	3
OG0001928	F	5	0.00919117647058824	4
OG0001928	P	155	0.284926470588235	4
OG0001928	U	384	0.705882352941177	4
OG0001929	P	382	1	3
OG0002178	P	136	1	1
OG0002370	A	147	0.372151898734177	3
OG0002370	F	1	0.00253164556962025	3
OG0002370	P	128	0.324050632911392	3
OG0002370	U	119	0.30126582278481	3
OG0002564	F	6	0.0441176470588235	1
OG0002564	P	6	0.0441176470588235	1
OG0002564	U	124	0.911764705882353	1
OG0002742	F	43	0.0727580372250423	4
OG0002742	P	336	0.568527918781726	4
OG0002742	U	212	0.358714043993232	4
OG0002810	F	16	0.0588235294117647	2
OG0002810	P	16	0.0588235294117647	2
OG0002810	U	240	0.88235294117647	2
OG0002829	A	128	0.501960784313725	2
OG0002829	F	4	0.0156862745098039	2
OG0002829	P	68	0.266666666666667	2
OG0002829	U	55	0.215686274509804	2
OG0002867	P	136	1	1
OG0002883	A	94	0.143950995405819	7
OG0002883	F	56	0.0857580398162328	7
OG0002883	P	37	0.0566615620214395	7
OG0002883	U	466	0.713629402756508	7
OG0002891	A	73	0.188630490956072	4
OG0002891	F	1	0.00258397932816537	4
OG0002891	P	61	0.157622739018088	4
OG0002891	U	252	0.651162790697674	4
OG0002892	F	87	0.134259259259259	4
OG0002892	P	164	0.253086419753086	4
OG0002892	U	397	0.612654320987654	4
OG0002893	F	54	0.229787234042553	2
OG0002893	P	69	0.293617021276596	2
OG0002893	U	112	0.476595744680851	2
OG0002919	A	270	1	2
OG0003409	P	136	1	1
OG0003680	P	136	1	1
OG0003687	F	5	0.0190839694656489	2
OG0003687	P	9	0.0343511450381679	2
OG0003687	U	248	0.946564885496183	2
OG0003691	A	136	1	1
OG0003730	P	270	1	2
OG0003767	P	133	0.488970588235294	2
OG0003767	U	139	0.511029411764706	2
OG0003807	U	136	1	1
OG0003808	U	90	1	1
OG0003820	P	51	0.207317073170732	2
OG0003820	U	195	0.792682926829268	2
OG0004081	F	13	0.0955882352941176	1
OG0004081	P	15	0.110294117647059	1
OG0004081	U	108	0.794117647058823	1
OG0004132	P	136	1	1
OG0004303	F	3	0.0110294117647059	2
OG0004303	P	68	0.25	2
OG0004303	U	201	0.738970588235294	2
OG0004694	F	1	0.00735294117647059	1
OG0004694	P	27	0.198529411764706	1
OG0004694	U	108	0.794117647058823	1
OG0004872	P	1	0.00735294117647059	1
OG0004872	U	135	0.99264705882353	1
OG0005764	F	118	0.86764705882353	1
OG0005764	P	18	0.132352941176471	1
