"og","gene","pseu"
"OG0000016","AL2G12500","AL2G12500_TE8_v1_scaffold_2_copy_2"
"OG0000016","AL2G12780","AL2G12780_al1_v2_s_scaffold_2_copy_1"
"OG0000016","AL2G12790","AL2G12790_F1-14_scaffold_2_copy_1"
"OG0000016","AL2G12790","AL2G12790_KN005_v1_scaffold_2_copy_1"
"OG0000016","AL2G12790","AL2G12790_KN006_v1_scaffold_2_copy_1"
"OG0000016","AL2G12790","AL2G12790_NT1_v2_scaffold_2_copy_1"
"OG0000016","AL2G12810","AL2G12810_AL08_v2_f_scaffold_2_copy_1"
"OG0000016","AL2G12810","AL2G12810_KN005_v1_scaffold_2_copy_1"
"OG0000016","AL2G12810","AL2G12810_NT9_v2_scaffold_2_copy_1"
"OG0000016","AL2G12810","AL2G12810_PU6_v3_fin_scaffold_2_copy_1"
"OG0000016","AL2G12820","AL2G12820_KN006_v1_scaffold_2_copy_2"
"OG0000016","AL2G12820","AL2G12820_NT1_v2_scaffold_2_copy_1"
"OG0000016","AL2G12820","AL2G12820_NT1_v2_scaffold_2_copy_2"
"OG0000016","AL2G12820","AL2G12820_NT9_v2_scaffold_2_copy_1"
"OG0000016","AL2G12830","AL2G12830_F1-14_scaffold_2_copy_2"
"OG0000016","AL2G13070",NA
"OG0000016","AL2G13120",NA
"OG0000016","AL2G13130","AL2G13130_73_3a_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_73_3a_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_AL08_v2_f_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_al1_v2_s_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_AL27_v1_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_AL27_v1_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_BAM12_v2_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_BAM12_v2_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_BOR_v1_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_BOR_v1_scaffold_2_copy_3"
"OG0000016","AL2G13130","AL2G13130_F1-14_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_KN003hexa_v0_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_KN005_v1_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_KN006_v1_scaffold_2_copy_3"
"OG0000016","AL2G13130","AL2G13130_MN47_mabs_v3_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_Nla_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_Nla_scaffold_2_copy_2"
"OG0000016","AL2G13130","AL2G13130_NT12_v2_scaffold_2_copy_1"
"OG0000016","AL2G13130","AL2G13130_NT12_v2_scaffold_2_copy_2"
