#FamilyID	Likelihood of Family
OG0000611	-7.87541
OG0000612	-22.1161
OG0000613	-10.8502
OG0000614	-9.97131
OG0000615	-9.16291
OG0000616	-8.64231
OG0000617	-7.91778
OG0000618	-18.6705
OG0000619	-7.91778
OG0000620	-16.9797
OG0000621	-24.9219
OG0000622	-11.4713
OG0000623	-7.5017
OG0000624	-8.64231
OG0000625	-7.91778
OG0000626	-7.25304
OG0000627	-7.25304
OG0000628	-9.05998
OG0000629	-8.75237
OG0000630	-8.26479
OG0000631	-7.25304
OG0000632	-8.75193
OG0000633	-7.91778
OG0000634	-11.4168
OG0000635	-9.41826
OG0000636	-7.25304
OG0000637	-10.7367
OG0000638	-9.51392
OG0000639	-18.48
OG0000640	-15.6336
OG0000641	-7.25304
OG0000642	-7.91778
OG0000643	-7.25304
OG0000644	-22.1161
OG0000645	-22.1161
OG0000646	-10.1568
OG0000647	-8.64231
OG0000648	-11.6266
OG0000649	-10.8404
OG0000650	-7.25304
OG0000651	-8.75237
OG0000652	-22.1161
OG0000653	-13.053
OG0000654	-12.7993
OG0000655	-8.53539
OG0000656	-10.7867
OG0000657	-8.32581
OG0000658	-10.1602
OG0000659	-12.0949
OG0000660	-9.04307
OG0000661	-10.4451
OG0000662	-7.25304
OG0000663	-8.32581
OG0000664	-7.25304
OG0000665	-8.75237
OG0000666	-7.25304
OG0000667	-7.5017
OG0000668	-10.6836
OG0000669	-9.32209
OG0000670	-10.3813
OG0000671	-11.538
OG0000672	-7.5017
OG0000673	-7.25304
OG0000674	-8.64231
OG0000675	-10.1569
OG0000676	-8.96337
OG0000677	-7.25304
OG0000678	-12.5342
OG0000679	-17.5443
OG0000680	-10.1602
OG0000681	-8.32581
OG0000682	-9.04307
OG0000683	-8.32581
OG0000684	-7.25304
OG0000685	-7.25304
OG0000686	-10.1569
OG0000687	-7.25304
OG0000688	-7.91778
OG0000689	-8.32581
OG0000690	-8.75193
OG0000691	-11.8762
OG0000692	-20.1095
OG0000693	-9.16291
OG0000694	-7.5017
OG0000695	-9.16291
OG0000696	-7.25304
OG0000697	-8.32581
OG0000698	-8.96337
OG0000699	-7.25304
OG0000700	-8.64231
OG0000701	-11.6587
OG0000702	-11.1215
OG0000703	-9.21581
OG0000704	-13.3925
OG0000705	-9.51392
OG0000706	-9.52088
OG0000707	-11.4713
OG0000708	-10.2616
OG0000709	-7.5017
OG0000710	-8.96337
OG0000711	-8.64231
OG0000712	-17.4675
OG0000713	-7.91778
OG0000714	-9.16291
OG0000715	-10.6836
OG0000716	-9.32209
OG0000717	-14.1239
OG0000718	-11.8
OG0000719	-8.24695
OG0000720	-24.9219
OG0000721	-11.4168
OG0000722	-13.3095
OG0000723	-12.5148
OG0000724	-17.5427
OG0000725	-18.0557
OG0000726	-11.3936
OG0000727	-10.5961
OG0000728	-15.4441
OG0000729	-10.5961
OG0000730	-43.9814
OG0000731	-18.4473
OG0000732	-11.7362
OG0000733	-11.7362
OG0000734	-43.9814
OG0000735	-43.9814
OG0000736	-24.4694
OG0000737	-11.7722
OG0000738	-10.5961
OG0000739	-22.9934
OG0000740	-43.9814
OG0000741	-43.9814
OG0000742	-16.9409
OG0000743	-16.9409
OG0000744	-7.25953
OG0000745	-8.24672
OG0000746	-10.9221
OG0000747	-7.84791
OG0000748	-6.91001
OG0000749	-7.25953
OG0000750	-8.63053
OG0000751	-8.82657
OG0000752	-12.4605
OG0000753	-8.63053
OG0000754	-7.25953
OG0000755	-14.9479
OG0000756	-9.16942
OG0000757	-8.3323
OG0000758	-10.3016
OG0000759	-7.25953
OG0000760	-6.91001
OG0000761	-16.4732
OG0000762	-9.52041
OG0000763	-7.25953
OG0000764	-10.8169
OG0000765	-7.25953
OG0000766	-9.79858
OG0000767	-7.25953
OG0000768	-8.45138
OG0000769	-10.1809
OG0000770	-7.25953
OG0000771	-9.15869
OG0000772	-8.66695
OG0000773	-9.16941
OG0000774	-7.25953
OG0000775	-10.1809
OG0000776	-7.98486
OG0000777	-8.66695
OG0000778	-10.9752
OG0000779	-8.45138
OG0000780	-10.145
OG0000781	-8.60972
OG0000782	-9.40862
OG0000783	-9.7161
OG0000784	-15.2384
OG0000785	-20.7426
OG0000786	-7.67311
OG0000787	-6.91001
OG0000788	-8.80024
OG0000789	-15.2138
OG0000790	-8.3323
OG0000791	-7.68223
OG0000792	-16.1597
OG0000793	-7.25953
OG0000794	-11.8456
OG0000795	-11.142
OG0000796	-6.91001
OG0000797	-8.45138
OG0000798	-20.7426
OG0000799	-6.91001
OG0000800	-11.142
OG0000801	-13.1453
OG0000802	-6.91001
OG0000803	-11.9419
OG0000804	-7.82456
OG0000805	-8.24672
OG0000806	-11.4381
OG0000807	-7.25953
OG0000808	-7.67311
OG0000809	-10.7065
OG0000810	-7.25953
OG0000811	-8.72555
OG0000812	-6.91001
OG0000813	-6.91001
OG0000814	-7.25953
OG0000815	-8.82657
OG0000816	-7.84791
OG0000817	-15.9127
OG0000818	-6.91001
OG0000819	-10.9752
OG0000820	-11.142
OG0000821	-7.25953
OG0000822	-21.1468
OG0000823	-6.91001
OG0000824	-11.154
OG0000825	-6.91001
OG0000826	-8.72555
OG0000827	-7.25953
OG0000828	-14.4869
OG0000829	-8.45138
OG0000830	-8.45138
OG0000831	-8.91152
OG0000832	-6.91001
OG0000833	-6.91001
OG0000834	-7.8819
OG0000835	-7.67311
OG0000836	-8.66695
OG0000837	-6.91001
OG0000838	-7.25953
OG0000839	-6.91001
OG0000840	-7.25953
OG0000841	-8.66695
OG0000842	-7.98486
OG0000843	-7.25953
OG0000844	-7.82456
OG0000845	-10.145
OG0000846	-18.816
OG0000847	-10.69
OG0000848	-14.2115
OG0000849	-8.45138
OG0000850	-31.7784
OG0000851	-9.03707
OG0000852	-11.6961
OG0000853	-9.40862
OG0000854	-8.03034
OG0000855	-8.91678
OG0000856	-9.24924
OG0000857	-17.0364
OG0000858	-8.3323
OG0000859	-8.3323
OG0000860	-10.447
OG0000861	-11.7694
OG0000862	-29.902
OG0000863	-7.84791
OG0000864	-10.462
OG0000865	-27.0012
OG0000866	-8.66695
OG0000867	-7.84791
OG0000868	-6.91001
OG0000869	-37.6496
OG0000870	-10.5685
OG0000871	-14.4195
OG0000872	-8.91678
OG0000873	-6.91001
OG0000874	-7.25953
OG0000875	-8.72555
OG0000876	-8.3323
OG0000877	-11.6234
OG0000878	-10.145
OG0000879	-8.82657
OG0000880	-9.16941
OG0000881	-8.45138
OG0000882	-9.19973
OG0000883	-8.72555
OG0000884	-11.8334
OG0000885	-9.40862
OG0000886	-8.82657
OG0000887	-17.3251
OG0000888	-8.3323
OG0000889	-9.63605
OG0000890	-10.6789
OG0000891	-9.40862
OG0000892	-9.20974
OG0000893	-14.2511
OG0000894	-30.1852
OG0000895	-9.79897
OG0000896	-11.0604
OG0000897	-41.2758
OG0000898	-41.2758
OG0000899	-41.2758
OG0000900	-11.7944
OG0000901	-10.3288
OG0000902	-10.1716
OG0000903	-41.2758
OG0000904	-41.2758
OG0000905	-30.7101
OG0000906	-11.431
OG0000907	-17.5799
OG0000908	-10.3288
OG0000909	-12.3372
OG0000910	-20.173
OG0000911	-13.8825
OG0000912	-19.7427
OG0000913	-27.362
OG0000914	-15.9128
OG0000915	-15.9128
OG0000916	-15.9128
OG0000917	-15.9128
OG0000918	-15.9128
OG0000919	-15.9128
OG0000920	-15.9128
OG0000921	-6.91651
OG0000922	-10.9136
OG0000923	-9.55292
OG0000924	-8.01803
OG0000925	-10.4868
OG0000926	-11.3014
OG0000927	-13.3835
OG0000928	-7.39318
OG0000929	-15.3269
OG0000930	-9.17591
OG0000931	-19.3691
OG0000932	-9.86876
OG0000933	-8.03273
OG0000934	-8.23307
OG0000935	-7.6796
OG0000936	-8.26995
OG0000937	-9.05881
OG0000938	-13.4255
OG0000939	-7.17476
OG0000940	-7.6796
OG0000941	-10.1632
OG0000942	-9.55292
OG0000943	-7.6796
OG0000944	-10.6577
OG0000945	-6.91651
OG0000946	-9.63589
OG0000947	-11.0318
OG0000948	-7.39318
OG0000949	-22.1294
OG0000950	-14.6143
OG0000951	-7.39318
OG0000952	-6.91651
OG0000953	-10.1515
OG0000954	-8.03273
OG0000955	-9.55292
OG0000956	-6.99475
OG0000957	-6.91651
OG0000958	-6.91651
OG0000959	-8.23307
OG0000960	-6.91651
OG0000961	-9.17591
OG0000962	-15.3708
OG0000963	-12.1471
OG0000964	-8.45787
OG0000965	-10.5645
OG0000966	-6.91472
OG0000967	-19.3691
OG0000968	-9.80508
OG0000969	-7.6796
OG0000970	-6.91651
OG0000971	-6.99475
OG0000972	-8.25321
OG0000973	-7.39318
OG0000974	-12.5225
OG0000975	-10.5645
OG0000976	-7.39318
OG0000977	-10.1515
OG0000978	-10.8316
OG0000979	-9.55292
OG0000980	-8.07527
OG0000981	-11.6395
OG0000982	-8.01803
OG0000983	-8.07527
OG0000984	-7.17476
OG0000985	-6.91472
OG0000986	-13.1609
OG0000987	-6.91651
OG0000988	-8.01803
OG0000989	-6.91651
OG0000990	-6.91651
OG0000991	-8.73205
OG0000992	-8.25321
OG0000993	-6.99475
OG0000994	-9.69624
OG0000995	-6.91472
OG0000996	-8.45787
OG0000997	-6.91651
OG0000998	-8.45787
OG0000999	-6.91651
OG0001000	-6.91651
OG0001001	-10.8043
OG0001002	-13.2819
OG0001003	-6.99475
OG0001004	-6.99475
OG0001005	-10.7626
OG0001006	-9.70922
OG0001007	-17.0449
OG0001008	-8.03273
OG0001009	-8.03273
OG0001010	-10.1632
OG0001011	-10.1622
OG0001012	-7.23287
OG0001013	-8.45787
OG0001014	-6.91651
OG0001015	-13.22
OG0001016	-7.39318
OG0001017	-7.39318
OG0001018	-19.3691
OG0001019	-17.7397
OG0001020	-8.58035
OG0001021	-7.43931
OG0001022	-7.6796
OG0001023	-7.39318
OG0001024	-8.58035
OG0001025	-6.91651
OG0001026	-8.01803
OG0001027	-7.23287
OG0001028	-8.03273
OG0001029	-11.8058
OG0001030	-8.03273
OG0001031	-8.07527
OG0001032	-12.5225
OG0001033	-9.69624
OG0001034	-9.86876
OG0001035	-9.05881
OG0001036	-13.295
OG0001037	-6.91651
OG0001038	-16.8726
OG0001039	-14.6394
OG0001040	-10.7626
OG0001041	-6.91651
OG0001042	-9.55292
OG0001043	-10.7476
OG0001044	-6.91651
OG0001045	-7.39318
OG0001046	-6.91651
OG0001047	-7.43931
OG0001048	-6.91651
OG0001049	-8.07527
OG0001050	-7.39318
OG0001051	-8.26995
OG0001052	-6.99475
OG0001053	-7.17476
OG0001054	-8.58035
OG0001055	-8.58035
OG0001056	-9.80508
OG0001057	-7.17476
OG0001058	-11.3015
OG0001059	-9.63589
OG0001060	-8.03273
OG0001061	-8.45787
OG0001062	-7.39318
OG0001063	-6.91651
OG0001064	-12.1471
OG0001065	-6.91651
OG0001066	-11.2399
OG0001067	-6.91651
OG0001068	-6.91472
OG0001069	-11.9847
OG0001070	-6.91472
OG0001071	-9.03146
OG0001072	-9.70922
OG0001073	-8.01803
OG0001074	-8.07527
OG0001075	-8.6321
OG0001076	-8.58035
OG0001077	-10.1622
OG0001078	-9.03146
OG0001079	-16.347
OG0001080	-13.6273
OG0001081	-9.55292
OG0001082	-6.99475
OG0001083	-7.39318
OG0001084	-9.03146
OG0001085	-6.91651
OG0001086	-8.01803
OG0001087	-6.91651
OG0001088	-10.5645
OG0001089	-8.03273
OG0001090	-19.3691
OG0001091	-7.17476
OG0001092	-14.4006
OG0001093	-9.02663
OG0001094	-10.1515
OG0001095	-8.23307
OG0001096	-10.1622
OG0001097	-10.8149
OG0001098	-6.91651
OG0001099	-13.226
OG0001100	-8.07527
OG0001101	-7.39318
OG0001102	-7.39318
OG0001103	-7.17476
OG0001104	-7.39318
OG0001105	-7.39318
OG0001106	-6.91651
OG0001107	-10.1148
OG0001108	-29.1165
OG0001109	-9.03146
OG0001110	-7.39318
OG0001111	-8.93112
OG0001112	-7.39318
OG0001113	-9.70922
OG0001114	-13.6706
OG0001115	-21.4941
OG0001116	-10.5901
OG0001117	-10.4932
OG0001118	-9.56131
OG0001119	-9.79899
OG0001120	-9.56131
OG0001121	-11.5965
OG0001122	-9.56131
OG0001123	-12.1834
OG0001124	-10.4722
OG0001125	-10.413
OG0001126	-11.4483
OG0001127	-17.9353
OG0001128	-10.413
OG0001129	-13.9589
OG0001130	-9.56131
OG0001131	-10.4722
OG0001132	-15.3117
OG0001133	-38.5703
OG0001134	-10.5901
OG0001135	-19.7
OG0001136	-20.4515
OG0001137	-13.7161
OG0001138	-12.5335
OG0001139	-22.9858
OG0001140	-12.095
OG0001141	-38.5703
OG0001142	-38.5703
OG0001143	-18.7287
OG0001144	-29.3332
OG0001145	-14.8912
OG0001146	-14.8912
OG0001147	-14.8912
OG0001148	-14.8912
OG0001149	-14.8912
OG0001150	-17.9956
OG0001151	-9.33825
OG0001152	-6.32303
OG0001153	-8.84308
OG0001154	-8.02452
OG0001155	-8.08176
OG0001156	-12.0954
OG0001157	-9.09671
OG0001158	-11.5827
OG0001159	-6.22724
OG0001160	-7.44104
OG0001161	-7.44515
OG0001162	-17.9956
OG0001163	-7.11112
OG0001164	-8.43977
OG0001165	-11.0018
OG0001166	-7.61848
OG0001167	-11.5095
OG0001168	-7.11112
OG0001169	-9.85721
OG0001170	-9.09671
OG0001171	-6.22724
