family_id	species	n_assemblies	max_copy	min_copy	median_copy	mean_copy	sd_copy	var_copy	cv	dispersion
OG0000065	AT	133	16	8	10	10.4962406015038	1.55028863466236	2.40339485076327	0.147699418631872	0.228976730051229
OG0000074	AL	21	0	0	0	0	0	0	NA	NA
OG0000074	AT	133	118	15	88	84.5112781954887	18.1181377987152	328.266917293233	0.214387217725011	3.88429715302491
OG0000075	AL	21	1	0	1	0.952380952380952	0.218217890235992	0.0476190476190477	0.229128784747792	0.05
OG0000075	AT	133	1	0	1	0.969924812030075	0.171439963166726	0.0293916609706084	0.176755931016857	0.0303030303030303
OG0000077	AL	21	7	6	7	6.52380952380952	0.511766315719159	0.261904761904762	0.0784459316065864	0.0401459854014598
OG0000077	AT	133	16	11	13	12.9924812030075	1.29390318944624	1.67418546365915	0.0995886135395542	0.128858024691358
OG0000083	AL	21	3	0	2	1.66666666666667	0.912870929175277	0.833333333333333	0.547722557505166	0.5
OG0000083	AT	133	24	11	17	16.9624060150376	2.59780214516389	6.74857598541809	0.15315056972819	0.397854878572964
OG0000086	AL	21	4	3	3	3.04761904761905	0.218217890235992	0.0476190476190476	0.071602745233685	0.015625
OG0000086	AT	133	1	1	1	1	0	0	0	0
OG0000087	AL	21	9	4	7	7.28571428571429	1.38357714432037	1.91428571428571	0.189902745298875	0.262745098039216
OG0000087	AT	133	5	0	4	3.52631578947368	1.28852127702251	1.66028708133971	0.365401556170561	0.470827679782903
OG0000090	AL	21	9	6	8	7.47619047619048	0.87287156094397	0.761904761904762	0.116753520890595	0.101910828025478
OG0000090	AT	133	16	12	15	14.7443609022556	1.17843074479495	1.38869902027797	0.0799241657612074	0.0941850941850943
OG0000093	AL	21	3	1	1	1.61904761904762	0.740012869900955	0.547619047619048	0.457066772585884	0.338235294117647
OG0000093	AT	133	54	7	17	21.8947368421053	13.3315888013433	177.731259968102	0.608894680830583	8.11753350815851
OG0000095	AL	21	2	0	2	1.76190476190476	0.538958431120797	0.290476190476191	0.305895325771263	0.164864864864865
OG0000095	AT	133	2	1	2	1.6015037593985	0.49143959251552	0.24151287309182	0.306861341805465	0.150803812775644
OG0000096	AL	21	3	2	3	2.61904761904762	0.497613351528119	0.247619047619048	0.189997825128918	0.0945454545454545
OG0000096	AT	133	24	20	22	22.1954887218045	1.01845580241007	1.03725222146275	0.0458857119649525	0.0467325695984232
OG0000100	AL	21	1	1	1	1	0	0	0	0
OG0000100	AT	133	2	1	2	1.96992481203008	0.171439963166726	0.0293916609706084	0.0870286835922693	0.0149201943095073
OG0000103	AL	21	7	4	6	5.66666666666667	0.912870929175277	0.833333333333333	0.161094869854461	0.147058823529412
OG0000103	AT	133	14	6	12	10.6541353383459	2.61998471190877	6.86431989063568	0.245912467666808	0.644286905754795
OG0000106	AL	21	21	16	18	18.1428571428571	1.76877681706071	3.12857142857143	0.0974916355860236	0.17244094488189
OG0000106	AT	133	10	6	7	7.66165413533835	1.19270013278449	1.42253360674413	0.155671361786395	0.185669253873376
OG0000107	AL	21	21	12	15	15.2380952380952	2.4880667576406	6.19047619047619	0.163279380970164	0.40625
OG0000107	AT	133	9	6	9	8.53383458646617	0.723510718863146	0.523467760309866	0.0847814322544479	0.0613402749966627
OG0000118	AL	21	6	1	2	2.28571428571429	1.55379719213471	2.41428571428572	0.679786271558937	1.05625
OG0000118	AT	133	17	9	13	13.2857142857143	1.45420721175444	2.11471861471862	0.109456456798721	0.159172368849788
OG0000126	AL	21	11	8	10	9.66666666666667	0.730296743340221	0.533333333333333	0.0755479389662298	0.0551724137931034
OG0000126	AT	133	8	7	8	7.99248120300752	0.0867109969524119	0.00751879699248119	0.0108490711144598	0.000940733772342425
OG0000141	AL	21	2	1	2	1.85714285714286	0.358568582800318	0.128571428571429	0.193075390738633	0.0692307692307692
OG0000141	AT	133	4	2	4	3.85714285714286	0.392019965919663	0.153679653679654	0.101634805979172	0.0398428731762066
OG0000142	AL	21	4	3	4	3.80952380952381	0.402373908081478	0.161904761904762	0.105623150871388	0.0425
OG0000142	AT	133	12	6	11	11.1804511278195	0.637639901062307	0.406584643426748	0.057031679113172	0.0363656742271403
OG0000147	AL	21	11	5	7	7.85714285714286	2.0071301473924	4.02857142857143	0.255452927849942	0.512727272727273
