family_id	assembly	assembly_short	scaffold	gene	copy	copy_rank	copy_id	copy_header	copy_fasta	ref_fasta	step2_status	step2_strand	step2_alignment_score	exo_score	exo_frameshift_ops	exo_strand	exon_count	predicted_cds_len	predicted_protein_len	ref_cds_len	ref_protein_len	protein_len_ratio	internal_stop_count	has_terminal_stop	starts_with_M	frameshift_like_gap_runs	prot_matches	prot_mismatches	prot_gap_columns	prot_percent_identity	prot_ref_coverage	prot_qry_coverage	prot_aligned_columns	structural_status	structural_reason	final_status	final_reason	protein_divergence	divergence_robust_z	popgen_dataset
OG0000009	ALR	ALR	scaffold_5	AL7G52020	1		1	AL7G52020_ALR_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	2826.0	1940.0	0.0	+	3.0	1173.0	391.0	1176	392	0.9974	0.0	True	True	0.0	379.0	12.0	1.0	96.931	100.0	100.0	392.0	U0	structurally_intact	U	reference_like_intact	3.0690000000000026		A+F+U
OG0000009	ALR	ALR	scaffold_8	AL8G41770	1		1	AL8G41770_ALR_scaffold_8_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	3107.0	2146.0	0.0	+	1.0	1233.0	411.0	1233	411	1.0	0.0	True	True	0.0	408.0	3.0	0.0	99.27	100.0	100.0	411.0	U0	structurally_intact	U	reference_like_intact	0.730000000000004	0.6745	A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_2_RagTag	AL1G65610	1		1	AL1G65610_BAM12_v2_scaffold_2_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	3048.0	1623.0	0.0	+	1.0	987.0	329.0	1275	425	0.7741	0.0	False	True	0.0	323.0	6.0	96.0	98.176	100.0	100.0	425.0	U0	structurally_intact	F	protein_length_shift	1.823999999999998	0.6745000000000158	A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_5_RagTag	AL5G15910	1		1	AL5G15910_BAM12_v2_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3447.0	1836.0	0.0	+	3.0	1305.0	435.0	1335	445	0.9775	0.0	True	False	0.0	370.0	64.0	12.0	85.253	100.0	100.0	446.0	U0	structurally_intact	F	protein_identity_below_90.0	14.747	0.6745	A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_5_RagTag	AL5G28550	1		1	AL5G28550_BAM12_v2_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	2886.0	1939.0	0.0	+	3.0	1302.0	434.0	1353	451	0.9623	0.0	False	False	0.0	380.0	53.0	19.0	87.76	100.0	100.0	452.0	U0	structurally_intact	F	protein_identity_below_90.0	12.239999999999997	0.0452014795474316	A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_5_RagTag	AL5G28950	1		1	AL5G28950_BAM12_v2_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3627.0	2180.0	0.0	+	3.0	1332.0	444.0	1347	449	0.9889	0.0	True	False	0.0	425.0	19.0	5.0	95.721	100.0	100.0	449.0	U0	structurally_intact	U	reference_like_intact	4.278999999999996	0.7570084779975769	A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_5_RagTag	AL7G51960	1		1	AL7G51960_BAM12_v2_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	3347.0							1503	501													A	no_cds_recovered	A	no_cds_recovered			A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_7_RagTag	AL7G52000	1		1	AL7G52000_BAM12_v2_scaffold_7_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	3863.0	1863.0	0.0	-	3.0	1113.0	371.0	1200	400	0.9275	0.0	False	False	0.0	276.0	1.0	217.0	99.639	100.0	100.0	494.0	U0	structurally_intact	U	reference_like_intact	0.3610000000000042	-1.0492222222222212	A+F+U
OG0000009	BAM12_v2	BAM12_v2	scaffold_7_RagTag	AL7G52020	1		1	AL7G52020_BAM12_v2_scaffold_7_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	2245.0	1500.0	0.0	-	3.0	969.0	323.0	1176	392	0.824	0.0	False	False	0.0	260.0	14.0	167.0	94.891	100.0	100.0	441.0	U0	structurally_intact	F	protein_length_shift	5.108999999999995		A+F+U
OG0000009	BOR_v1	BOR_v1	scaffold_2_RagTag:0-21425966	AL1G65610	1		1	AL1G65610_BOR_v1_scaffold_2_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	-	3419.0	1627.0	0.0	+	1.0	987.0	329.0	1275	425	0.7741	0.0	False	True	0.0	321.0	8.0	96.0	97.568	100.0	100.0	425.0	U0	structurally_intact	F	protein_length_shift	2.432000000000002	1.3490000000000315	A+F+U
OG0000009	BOR_v1	BOR_v1	scaffold_5_RagTag:0-21731985	AL5G15910	1		1	AL5G15910_BOR_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3512.0	2169.0	0.0	+	3.0	1320.0	440.0	1335	445	0.9888	0.0	False	False	0.0	424.0	16.0	5.0	96.364	100.0	100.0	445.0	U0	structurally_intact	U	reference_like_intact	3.635999999999996	-3.32676508275493	A+F+U
OG0000009	BOR_v1	BOR_v1	scaffold_5_RagTag:0-21731985	AL5G28540	1		1	AL5G28540_BOR_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3085.0	1948.0	0.0	+	3.0	1308.0	436.0	1338	446	0.9776	0.0	True	False	0.0	382.0	54.0	10.0	87.615	100.0	100.0	446.0	U0	structurally_intact	F	protein_identity_below_90.0	12.385000000000003	0.3365152505446692	A+F+U
OG0000009	BOR_v1	BOR_v1	scaffold_5_RagTag:0-21731985	AL5G28950	1		1	AL5G28950_BOR_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	3779.0	2253.0	0.0	+	3.0	1332.0	444.0	1347	449	0.9889	0.0	True	False	0.0	440.0	4.0	5.0	99.099	100.0	100.0	449.0	U0	structurally_intact	U	reference_like_intact	0.9009999999999962	-1.082685506661282	A+F+U
OG0000009	BOR_v1	BOR_v1	scaffold_5_RagTag:0-21731985	AL7G51960	1		1	AL7G51960_BOR_v1_scaffold_5_copy_1	/home/pkaru/hpc-project/CNV/ANN/231/AL/blast1/sequences/OG0000009_all_genes_v1.fasta	/home/pkaru/hpc-project/CNV/ANN/231/AL/refseq/OG0000009.fasta	ok	+	4453.0							1503	501													A	no_cds_recovered	A	no_cds_recovered			A+F+U
