"accession","assembly","sample_name","location","latitude","longitude","pop_name","ID","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"GCA_036938785.1","ASM3693878v1","ASM3693878v1","Kyrgyzstan",42.8,76.35,"Zal-1",45,1.15000000000003,11.45,-9.34999999999997,854.1,147.4,21.3,60.6,411.2,79.7,343.7,79.7,8.2,0.274000000953674,799.8,16.15,-13.85,30,9.35000000000002,-9.34999999999997
"GCA_036939995.1","ASM3693999v1","ASM3693999v1","Morocco",31.47,-7.41,"Elh-2",46,12.7500000000001,20.35,5.95000000000005,646.6,78.2,25.4,24.8,212.8,111.2,111.2,170.4,12.7,0.434999990463257,559.7,28.45,-0.849999999999966,29.3,8.95000000000005,20.35
"GCA_036940305.1","ASM3694030v1","ASM3694030v1","United Kingdom",55.96,-3.19,"Edi-0",47,9.45000000000005,14.65,4.75000000000006,828.4,90.5,48.7,16.1,243.6,168.3,206.9,209.6,5.2,0.327999997138977,388.3,17.7500000000001,1.85000000000002,15.9,10.05,8.35000000000002
"GCA_036940335.1","ASM3694033v1","ASM3694033v1","Italy",37.7,14.98,"Etna-2",48,6.55000000000001,14.2500000000001,-0.649999999999977,1055.5,152.3,25.2,48.6,433.2,97.2,97.2,373.1,9.1,0.342000007629395,592.3,20.55,-5.94999999999999,26.5,0.950000000000045,14.2500000000001
"GCA_036940405.1","ASM3694040v1","ASM3694040v1","Russia",62.13,34.02,"N13",49,3.15000000000003,15.45,-8.94999999999999,652.5,87.7,29.9,35,249.2,97.2,249.2,119,5.5,0.169000005722046,944,20.55,-12.05,32.6,15.45,-3.74999999999994
"GCA_036940415.1","ASM3694041v1","ASM3694041v1","Germany",51.07,13.3,"No-0",50,8.85000000000002,17.2500000000001,0.550000000000011,739.5,88.8,45.9,21.6,238.5,151,238.5,164,7,0.28199999332428,651.5,22.2500000000001,-2.64999999999998,24.9,17.2500000000001,4.45000000000005
"GCA_036940605.1","ASM3694060v1","ASM3694060v1","Lebanon",34.1,35.84,"Qar-8a",51,12.05,19.95,3.95000000000005,1349.2,292.9,1.8,93.5,778.6,11.3,12.3,778.6,8.8,0.336999988555908,635.6,25.15,-0.949999999999989,26.1,3.95000000000005,19.85
"GCA_036940615.1","ASM3694061v1","ASM3694061v1","Spain",41.78,3.03,"Sf-2",52,16.05,23.05,9.85000000000002,666.2,102.4,20.5,35.3,239.4,92.9,128,163.2,6.1,0.295000004768372,519.2,27.05,6.35000000000002,20.7,17.2500000000001,22.95
"GCA_036940625.1","ASM3694062v1","ASM3694062v1","USA",43.27,-85.26,"Tul-0",53,8.75000000000006,20.65,-3.74999999999994,898.1,99.3,45,23.4,267,150.1,252.4,151.5,9,0.247000002861023,943.2,27.05,-9.44999999999999,36.5,15.55,-2.44999999999999
"GCA_036940635.1","ASM3694063v1","ASM3694063v1","Iceland",64.92,-18.48,"Ice-1",54,-0.549999999999955,6.15000000000003,-5.34999999999997,1100.4,117.7,60.1,20.3,331.2,192.5,247.9,288.2,4.8,0.255999994277954,459.9,9.15000000000003,-9.54999999999995,18.7,2.75000000000006,0.950000000000045
